Length,Clients,Pause,Queries,Time
3000,1,50,30,24.466666666666665
3000,11,50,30,710.9122257053292
3000,21,50,30,2065.5451559934318
3000,31,50,30,3735.97
3000,41,50,30,5266.799661876585
3000,51,50,30,6766.3216494845365
3000,61,50,30,7424.736486486487
3000,71,50,30,11211.4610935857
3000,81,50,30,11209.452812202097
3000,91,50,30,12269.713656387665
3000,101,50,30,16016.08910162003
