Length,Clients,Pause,Queries,Time
3000,5,50,30,43.02054794520548
3000,10,50,30,50.914089347079035
3000,15,50,30,49.231651376146786
3000,20,50,30,49.9776247848537
3000,25,50,30,63.31137724550898
3000,30,50,30,61.512910798122064
3000,35,50,30,54.699293642785065
3000,40,50,30,54.66379310344828
3000,45,50,30,56.02418096723869
3000,50,50,30,57.040587823652906
